feature,importance
num__weekofyear,4028
num__DayOfWeek,3311
num__lag14,2804
num__lag7,2197
num__roll28_mean,1971
num__roll14_mean,1837
num__roll7_mean,1531
num__lag1,1447
num__Promo,1420
num__month,1262
num__dow_sin,1190
num__CompetitionDistance,963
num__year,863
num__SchoolHoliday,790
num__dow_cos,660
num__month_sin,559
num__month_cos,506
num__is_weekend,319
cat__StateHoliday_0,135
cat__Assortment_a,116
cat__Assortment_c,105
num__Promo2,89
"cat__PromoInterval_Jan,Apr,Jul,Oct",54
cat__Assortment_b,53
"cat__PromoInterval_Mar,Jun,Sept,Dec",36
"cat__PromoInterval_Feb,May,Aug,Nov",34
cat__PromoInterval_Unknown,27
cat__StateHoliday_a,26
cat__StateHoliday_b,14
cat__StateHoliday_c,3
