feature,weight,abs_weight
cat__StateHoliday_0,0.2143248192593371,0.2143248192593371
cat__StateHoliday_c,-0.1672369377984493,0.1672369377984493
cat__StateHoliday_b,-0.1608624426360322,0.1608624426360322
cat__StateHoliday_a,0.11377456115787178,0.11377456115787178
num__Promo,0.09582373798459881,0.09582373798459881
cat__Assortment_b,0.08174559287010079,0.08174559287010079
cat__Assortment_a,-0.07607913934084157,0.07607913934084157
num__DayOfWeek,-0.07524336702584165,0.07524336702584165
num__dow_sin,-0.06466019640870348,0.06466019640870348
num__Promo2,-0.06199599662622134,0.06199599662622134
num__roll7_mean,0.05734251944616149,0.05734251944616149
num__CompetitionDistance,-0.051629891944952454,0.051629891944952454
num__month_sin,0.046008995642726966,0.046008995642726966
num__dow_cos,0.03822845427201996,0.03822845427201996
"cat__PromoInterval_Mar,Jun,Sept,Dec",-0.03747990799685453,0.03747990799685453
num__is_weekend,-0.03646354177999443,0.03646354177999443
cat__PromoInterval_Unknown,0.03099780861619528,0.03099780861619528
num__month,0.026513622018870878,0.026513622018870878
num__weekofyear,0.024269571951470833,0.024269571951470833
"cat__PromoInterval_Jan,Apr,Jul,Oct",0.015805759167221684,0.015805759167221684
num__roll14_mean,0.013435057884095146,0.013435057884095146
num__roll28_mean,0.01177330205150473,0.01177330205150473
num__SchoolHoliday,0.011733388424445561,0.011733388424445561
"cat__PromoInterval_Feb,May,Aug,Nov",-0.00932365973185969,0.00932365973185969
num__lag14,0.009284418336445773,0.009284418336445773
cat__Assortment_c,-0.005666453533817637,0.005666453533817637
num__lag7,-0.003535989774191516,0.003535989774191516
num__month_cos,0.0014416587257608362,0.0014416587257608362
num__lag1,0.001175636180930057,0.001175636180930057
num__year,0.0007373353614608258,0.0007373353614608258
