model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
autogluon_log,1,test,,macro,56.99036096685763,74.24901319514169,7.903541162427443,-13.678332371165608,46200,300.657445800025,1100.0,9.842641804790606
autogluon_log,7,test,,macro,61.008770185448626,78.25183435338181,8.641087379779117,-22.29928311070754,46200,300.5397521998966,1100.0,10.833326242431065
autogluon_log,14,test,,macro,53.55909304586219,68.49004809817207,7.290054932782532,6.844367908302003,46200,300.5313867999939,1100.0,9.393273338934852
autogluon_log,1,test,,micro,57.04863566731227,84.20447333850268,7.715481898991787,-13.678332371165608,46200,300.657445800025,,
autogluon_log,7,test,,micro,61.05920387801372,85.59498122159377,8.28610406103594,-22.299283110707545,46200,300.5397521998966,,
autogluon_log,14,test,,micro,53.62074919155969,79.78471717022322,7.309562588092974,6.844367908302002,46200,300.5313867999939,,
autogluon_log,1,val,1,macro,83.57566763053485,105.60323458713856,10.181841835327628,-23.86029142159982,46200,304.11537779995706,1100.0,12.569825312677025
autogluon_log,1,val,2,macro,58.300308261984966,80.84252858053011,8.364707221144512,-1.4519260432221837,46200,300.5617826000089,1100.0,11.189399052629817
autogluon_log,1,val,3,macro,74.31698685564852,96.38694827561258,9.510237303047207,5.5855023978671525,46200,300.425902799936,1100.0,11.580944553086391
autogluon_log,7,val,1,macro,114.23936033196672,166.7998012852299,13.34475688275709,4.1221001658250955,46200,300.39142230001744,1100.0,15.587391469488594
autogluon_log,7,val,2,macro,63.55117972262046,89.13010657846782,8.776412890882318,16.6590742298281,46200,300.4955065000104,1100.0,11.698088083073593
autogluon_log,7,val,3,macro,95.77490260440494,127.03551589753931,12.7156746696831,-1.722372887940881,46200,300.64844750007614,1100.0,15.716473151484907
autogluon_log,14,val,1,macro,136.124512355144,178.51640987720972,16.446125770809306,-1.9816272730611626,46200,300.35639049997553,1100.0,19.887914957606124
autogluon_log,14,val,2,macro,68.20527922993197,92.28751803929352,9.522024614516198,0.5495426194689449,46200,296.01639040000737,1100.0,12.323587238656183
autogluon_log,14,val,3,macro,66.29571648415747,83.87078286082297,8.656704582345192,-2.060698910411161,46200,300.5266575999558,1100.0,11.065210240667422
autogluon_log,1,val,1,micro,83.69758408389382,113.69119507910843,9.826110378744609,-23.86029142159982,46200,304.11537779995706,,
autogluon_log,1,val,2,micro,58.2515036627071,89.43637007076873,8.075841471302315,-1.4519260432221832,46200,300.5617826000089,,
autogluon_log,1,val,3,micro,74.76543629668836,106.72604175435646,9.37103752925652,5.5855023978671525,46200,300.425902799936,,
autogluon_log,7,val,1,micro,114.72305982004333,183.6008709101234,13.204796557961693,4.122100165825095,46200,300.39142230001744,,
autogluon_log,7,val,2,micro,63.456853076312726,98.9829338282119,8.513359729005595,16.659074229828104,46200,300.4955065000104,,
autogluon_log,7,val,3,micro,96.34623104944103,139.45120364972647,12.383332351318654,-1.7223728879408813,46200,300.64844750007614,,
autogluon_log,14,val,1,micro,133.79798652860381,202.52364208403642,15.28050996346095,-1.9816272730611626,46200,300.35639049997553,,
autogluon_log,14,val,2,micro,68.10242397068704,101.81823057908096,9.275954209774467,0.5495426194689449,46200,296.01639040000737,,
autogluon_log,14,val,3,micro,66.84842932208701,97.67848724452824,8.563908982679642,-2.0606989104111615,46200,300.5266575999558,,
