model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
last_value,1,test,,macro,203.31615978086427,348.58348031529545,28.51640323159906,83.44625541125541,46200,0.0,1100.0,34.22421062506068
last_value,1,test,,micro,203.4255495749283,373.86410351998205,27.51207153648239,83.44625541125541,46200,0.0,,
last_value,7,test,,macro,127.06522025307481,155.37356491047154,17.97279572651761,-2.3351515151515154,46200,0.0,1100.0,24.32355519850548
last_value,7,test,,micro,126.9543121666499,169.56079065896108,17.2284696621944,-2.335151515151515,46200,0.0,,
last_value,14,test,,macro,63.849085343579475,81.7647520721302,8.719417019105702,-4.831558441558442,46200,0.0,1100.0,11.252256162191934
last_value,14,test,,micro,63.7806350963716,97.50190618664689,8.694554835101638,-4.831558441558442,46200,0.0,,
last_value,1,val,1,macro,239.20380272240632,396.921374688442,32.41502293594396,115.89335497835498,46200,0.0,1100.0,37.6958944505606
last_value,1,val,1,micro,239.00561648211243,424.8115415720876,31.311778159235082,115.89335497835498,46200,0.0,,
last_value,7,val,1,macro,187.48293862030886,266.0902666905774,25.56740472279899,35.731991341991346,46200,0.0,1100.0,32.128547744609556
last_value,7,val,1,micro,187.26755167735243,284.39624344109643,24.56903407487545,35.73199134199134,46200,0.0,,
last_value,14,val,1,macro,129.9349855666507,220.51452886364783,17.46426086538608,30.830584415584415,46200,0.0,1100.0,21.232295679723382
last_value,14,val,1,micro,130.02613249680988,240.04723561068158,17.10365577103343,30.830584415584415,46200,0.0,,
last_value,1,val,2,macro,275.8943578961939,437.68713199748595,35.73773214379933,143.2998484848485,46200,0.0,1100.0,39.85184473012052
last_value,1,val,2,micro,276.1212925467878,469.4796365899111,34.60881288533829,143.2998484848485,46200,0.0,,
last_value,7,val,2,macro,204.29522304357675,297.88439220369537,27.327539087155017,40.662229437229435,46200,0.0,1100.0,32.95413139471577
last_value,7,val,2,micro,204.68175601750548,318.6024207206516,26.307642586616698,40.662229437229435,46200,0.0,,
last_value,14,val,2,macro,170.44325041964578,267.58883268096275,22.53370466039685,46.73562770562771,46200,0.0,1100.0,26.40183674172188
last_value,14,val,2,micro,170.57564242247082,288.13559161804005,21.852335068783667,46.73562770562771,46200,0.0,,
