artifact_prefix,split,fold,horizon,target_date,target_day_name,daily_wape,total_abs_error,target_total_customers,mean_signed_error,promo_rate_target,schoolholiday_rate_target,stateholiday_code
autogluon,test,,1,2015-06-07,Sunday,5.4120370815409045,2460.312057268495,45460.0,-50.5699679386557,0.0,0.0,0
autogluon,test,,1,2015-06-08,Monday,5.966129057333972,48956.32486705594,820571.0,-19.369390936875412,0.0,0.0,0
autogluon,test,,1,2015-06-09,Tuesday,7.194102877593507,55534.8052225543,771949.0,-36.52002795480305,0.0,0.0,0
autogluon,test,,1,2015-06-10,Wednesday,7.0211902044236645,52192.36844409353,743355.0,-31.823833283349114,0.0,0.0,0
autogluon,test,,1,2015-06-11,Thursday,7.059517916342124,53409.41815269881,756559.0,-32.19347016058471,0.0,0.0,0
autogluon,test,,1,2015-06-12,Friday,9.13624848359373,69057.43051306125,755862.0,-50.186792226408734,0.0,0.0,0
autogluon,test,,1,2015-06-13,Saturday,10.9319152443434,76120.78427195463,696317.0,-55.319372158902674,0.0,0.0,0
autogluon,test,,1,2015-06-14,Sunday,6.000510636033775,2716.49117003885,45271.0,44.421404189343086,0.0,0.0,0
autogluon,test,,1,2015-06-15,Monday,5.488001137603277,57373.704212948316,1045439.0,-10.49516692151054,1.0,0.0,0
autogluon,test,,1,2015-06-16,Tuesday,4.664367965251481,43223.158692556935,926667.0,15.98181658720692,1.0,0.0,0
autogluon,test,,1,2015-06-17,Wednesday,7.426937174301076,63755.8737484419,858441.0,-51.752765759641264,1.0,0.0,0
autogluon,test,,1,2015-06-18,Thursday,7.211278705747376,59816.11460843333,829480.0,-45.933235708323075,1.0,0.0,0
autogluon,test,,1,2015-06-19,Friday,15.417287029187218,132535.47881075938,859655.0,-118.7541811616947,1.0,0.0,0
autogluon,test,,1,2015-06-20,Saturday,7.02624769069502,48534.859860629454,690765.0,-17.190785456134076,0.0,0.0,0
autogluon,test,,1,2015-06-21,Sunday,4.723621068805833,1990.48668218409,42139.0,21.07259974742136,0.0,0.0,0
autogluon,test,,1,2015-06-22,Monday,12.6519604966395,94142.60545746969,744095.0,-81.4247163549501,0.0,0.0,0
autogluon,test,,1,2015-06-23,Tuesday,6.435498580689983,46578.07936748827,723768.0,-25.044727797490793,0.0,0.0,0
autogluon,test,,1,2015-06-24,Wednesday,5.207080244915073,37602.8258470493,722148.0,6.74523978639085,0.0,0.0,0
autogluon,test,,1,2015-06-25,Thursday,5.355686517565494,38725.79095748222,723078.0,4.674770874978961,0.0,0.0,0
autogluon,test,,1,2015-06-26,Friday,8.43383218350494,63341.03153938633,751035.0,-46.750740616482105,0.0,0.0,0
autogluon,test,,1,2015-06-27,Saturday,7.12226357184822,49098.96205315723,689373.0,-19.85042228333587,0.0,0.0,0
autogluon,test,,1,2015-06-28,Sunday,5.35667741608748,2379.5432417743805,44422.0,56.19247595525239,0.0,0.0,0
autogluon,test,,1,2015-06-29,Monday,14.628179373145564,151418.4789183357,1035115.0,-133.18350667847486,1.0,0.25727272727272726,0
autogluon,test,,1,2015-06-30,Tuesday,9.969127927993672,101265.40457976692,1015790.0,78.43333101114807,1.0,0.25727272727272726,0
autogluon,test,,1,2015-07-01,Wednesday,9.292284652998996,82039.25813016489,882875.0,46.353245920406074,1.0,0.25727272727272726,0
autogluon,test,,1,2015-07-02,Thursday,7.674270295459633,65503.043422569106,853541.0,-27.30164714328956,1.0,0.2575068243858053,0
autogluon,test,,1,2015-07-03,Friday,6.9656734163791825,60171.29804577163,863826.0,37.201849864908645,1.0,0.2575068243858053,0
autogluon,test,,1,2015-07-04,Saturday,11.203200659955895,73900.34470530666,659636.0,-40.31971809776155,0.0,0.0,0
autogluon,test,,1,2015-07-05,Sunday,8.051574862027804,3845.190606858619,47757.0,36.37759818523026,0.0,0.0,0
autogluon,test,,1,2015-07-06,Monday,4.855634009749013,40641.21965453837,836991.0,5.810263616409581,0.0,0.2575068243858053,0
autogluon,test,,1,2015-07-07,Tuesday,7.9444804138304335,58331.155766487886,734235.0,26.535797895310246,0.0,0.2575068243858053,0
autogluon,test,,1,2015-07-08,Wednesday,12.682744595258452,96565.27590128427,761391.0,86.36056156303141,0.0,0.2575068243858053,0
autogluon,test,,1,2015-07-09,Thursday,5.170446531897338,40003.072659240555,773687.0,14.818546965711198,0.0,0.2575068243858053,0
autogluon,test,,1,2015-07-10,Friday,4.598625252352327,36260.7579360809,788513.0,9.516887603870568,0.0,0.2575068243858053,0
autogluon,test,,1,2015-07-11,Saturday,6.492586702106803,44193.67423803357,680679.0,-13.253814703115216,0.0,0.0,0
autogluon,test,,1,2015-07-12,Sunday,5.649042057129354,2564.2131705721563,45392.0,-27.132990874284264,0.0,0.0,0
