artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-19,Friday,6,2015,1099,1099,859655.0,782.2156505914468,132535.47881075938,120.59643203890754,144.41611153898677,-118.7541811616947,15.417287029187218,1.0,0.0,0.0,0,1,0,0,1,11.176072118394645,1
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-29,Monday,6,2015,1100,1100,1035115.0,941.0136363636364,151418.4789183357,137.65316265303244,157.86423822863787,-133.18350667847486,14.628179373145564,1.0,0.25727272727272726,0.0,0,1,1,0,2,11.176072118394645,1
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-08,Wednesday,7,2015,1099,1099,761391.0,692.803457688808,96565.27590128427,87.86649308579096,107.92807727754804,86.36056156303141,12.682744595258452,0.0,0.2575068243858053,0.0,0,0,1,0,3,11.176072118394645,1
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,94142.60545746969,85.66206138077315,107.37409253572456,-81.4247163549501,12.6519604966395,0.0,0.0,0.0,0,0,0,0,4,11.176072118394645,1
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,73900.34470530666,67.24326178826811,102.89752196711386,-40.31971809776155,11.203200659955895,0.0,0.0,0.0,0,0,0,0,5,11.176072118394645,1
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-13,Saturday,6,2015,1099,1099,696317.0,633.5914467697908,76120.78427195463,69.26367995628264,93.90455563896757,-55.319372158902674,10.9319152443434,0.0,0.0,0.0,0,0,0,0,6,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,101265.40457976692,92.05945870887902,135.5232842824965,78.43333101114807,9.969127927993672,1.0,0.25727272727272726,0.0,0,1,1,0,7,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-16,Thursday,7,2015,1097,1097,857457.0,781.6381039197812,79742.08718612824,72.69105486429191,97.95936494758372,44.45745345309586,9.299835115478473,1.0,0.5132178669097539,0.0,0,1,1,0,8,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-01,Wednesday,7,2015,1100,1100,882875.0,802.6136363636364,82039.25813016489,74.58114375469536,116.9361969504902,46.353245920406074,9.292284652998996,1.0,0.25727272727272726,0.0,0,1,1,0,9,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-12,Friday,6,2015,1099,1099,755862.0,687.7725204731574,69057.43051306125,62.83660647230323,82.7221606837126,-50.186792226408734,9.13624848359373,0.0,0.0,0.0,0,0,0,0,10,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-06-26,Friday,6,2015,1100,1100,751035.0,682.7590909090909,63341.03153938633,57.58275594489666,77.43094435104,-46.750740616482105,8.43383218350494,0.0,0.0,0.0,0,0,0,0,11,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-15,Wednesday,7,2015,1098,1098,868811.0,791.2668488160291,70978.72633194437,64.6436487540477,88.79908721123537,44.33483788947048,8.16963946496354,1.0,0.40528233151183973,0.0,0,1,1,0,12,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,3845.190606858619,116.52092748056421,166.94251014985267,36.37759818523026,8.051574862027804,0.0,0.0,0.0,0,0,0,0,13,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-07,Tuesday,7,2015,1099,1099,734235.0,668.0937215650591,58331.155766487886,53.07657485576696,78.43497761333536,26.535797895310246,7.9444804138304335,0.0,0.2575068243858053,0.0,0,0,1,0,14,11.176072118394645,0
autogluon,test,,1,2015-06-06,2015-07-17,2015-07-02,Thursday,7,2015,1099,1099,853541.0,776.6524112829845,65503.043422569106,59.60240529806106,97.76912214847387,-27.30164714328956,7.674270295459633,1.0,0.2575068243858053,0.0,0,1,1,0,15,11.176072118394645,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-19,Friday,6,2015,1099,1099,859655.0,782.2156505914468,110066.47904371397,100.15148229637305,120.88619858747424,-97.60697726318233,12.803564109289653,1.0,0.0,0.0,0,1,0,0,1,9.547791189051518,1
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,125718.50485190506,114.28954986536824,150.52859160100328,109.4764115155386,12.376426707479405,1.0,0.25727272727272726,0.0,0,1,1,0,2,9.547791189051518,1
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,77626.16061046917,70.6334491451039,108.90333935641281,-46.158053273416606,11.768029733136029,0.0,0.0,0.0,0,0,0,0,3,9.547791189051518,1
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-13,Saturday,6,2015,1099,1099,696317.0,633.5914467697908,77918.35862016086,70.89932540505993,93.93148119865741,-61.12503783511595,11.19006984177621,0.0,0.0,0.0,0,0,0,0,4,9.547791189051518,1
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-17,Wednesday,6,2015,1099,1099,858441.0,781.1110100090992,82383.48146961705,74.96222153741314,89.20011867413986,-71.45300214203276,9.596871709251662,1.0,0.0,0.0,0,1,0,0,5,9.547791189051518,1
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-02,Thursday,7,2015,1099,1099,853541.0,776.6524112829845,77724.01112664863,70.72248510159112,97.22774149286043,-51.338859701663736,9.106066507250224,1.0,0.2575068243858053,0.0,0,1,1,0,6,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,4113.660657797709,124.65638356962755,185.279670360332,44.529610638142884,8.613733395727765,0.0,0.0,0.0,0,0,0,0,7,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-07-22,Wednesday,7,2015,1098,1098,701078.0,638.5045537340619,59700.92988174912,54.372431586292464,70.68362243469088,-41.27723852261553,8.51559025982118,0.0,0.6165755919854281,0.0,0,0,1,0,8,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,61482.93137730223,55.94443255441513,78.52492884169679,-43.2437284519895,8.262779803291547,0.0,0.0,0.0,0,0,0,0,9,9.547791189051518,0
autogluon,test,,7,2015-06-06,2015-07-17,2015-06-18,Thursday,6,2015,1099,1099,829480.0,754.7588717015468,67442.5229290854,61.367172819913925,82.03054049874619,-52.83389974505393,8.130699104147828,1.0,0.0,0.0,0,1,0,0,10,9.547791189051518,0
