artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
flaml,test,,1,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,103932.15358020944,94.56974848062734,115.50415845736103,-92.5690384717984,13.967591984922551,0.0,0.0,0.0,0,0,0,0,1,10.082989040411121,1
flaml,test,,1,2015-06-06,2015-07-17,2015-06-29,Monday,6,2015,1100,1100,1035115.0,941.0136363636364,132676.3776459818,120.61488876907435,143.24481533278006,-117.2196865745318,12.817549513433946,1.0,0.25727272727272726,0.0,0,1,1,0,2,10.082989040411121,1
flaml,test,,1,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,82822.12717047532,75.36135320334424,110.48871781591285,-57.17745203245977,12.55573182338067,0.0,0.0,0.0,0,0,0,0,3,10.082989040411121,1
flaml,test,,1,2015-06-06,2015-07-17,2015-06-26,Friday,6,2015,1100,1100,751035.0,682.7590909090909,76941.25625230971,69.94659659300883,89.88718061529526,-60.705577349925775,10.244696485824191,0.0,0.0,0.0,0,0,0,0,4,10.082989040411121,1
flaml,test,,1,2015-06-06,2015-07-17,2015-06-13,Saturday,6,2015,1099,1099,696317.0,633.5914467697908,70906.94480224208,64.51951301386904,89.87801422336129,-52.323202210911454,10.183141414361861,0.0,0.0,0.0,0,0,0,0,5,10.082989040411121,1
flaml,test,,1,2015-06-06,2015-07-17,2015-07-15,Wednesday,7,2015,1098,1098,868811.0,791.2668488160291,79770.90433707998,72.65109684615663,95.75848055536443,67.00619717593086,9.181617674854483,1.0,0.40528233151183973,0.0,0,1,1,0,6,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-07-01,Wednesday,7,2015,1100,1100,882875.0,802.6136363636364,79999.87086807615,72.72715533461468,110.26661036508929,49.08734853276522,9.06129076801089,1.0,0.25727272727272726,0.0,0,1,1,0,7,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-06-20,Saturday,6,2015,1099,1099,690765.0,628.5395814376706,61260.51061994469,55.742047879840484,73.98446824176682,-43.57060996554459,8.868502402400916,0.0,0.0,0.0,0,0,0,0,8,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-07-05,Sunday,7,2015,33,33,47757.0,1447.1818181818182,4147.950447052216,125.6954680924914,165.18311823026124,-29.626724523659494,8.685533946965297,0.0,0.0,0.0,0,0,0,0,9,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-07-16,Thursday,7,2015,1097,1097,857457.0,781.6381039197812,73568.95590014837,67.06377019156643,92.01479008053653,51.074486406713454,8.579900321549463,1.0,0.5132178669097539,0.0,0,1,1,0,10,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-06-27,Saturday,6,2015,1100,1100,689373.0,626.7027272727273,53869.949722919584,48.97268156629053,121.22387663647554,-33.422533432207764,7.814339947012659,0.0,0.0,0.0,0,0,0,0,11,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-06-12,Friday,6,2015,1099,1099,755862.0,687.7725204731574,59056.8490981899,53.73689635868053,74.0776187037414,-37.30794922106838,7.813178741382673,0.0,0.0,0.0,0,0,0,0,12,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-07-09,Thursday,7,2015,1099,1099,773687.0,703.9918107370337,59567.01892335875,54.201109120435625,71.34182805827103,43.945223045140445,7.699110741599478,0.0,0.2575068243858053,0.0,0,0,1,0,13,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-07-08,Wednesday,7,2015,1099,1099,761391.0,692.803457688808,57754.64857469222,52.55200052292285,70.1156247876388,42.871044433535026,7.585412563937874,0.0,0.2575068243858053,0.0,0,0,1,0,14,10.082989040411121,0
flaml,test,,1,2015-06-06,2015-07-17,2015-06-08,Monday,6,2015,1100,1100,820571.0,745.9736363636364,61996.49222169386,56.36044747426714,78.94780705183321,-42.69206923458165,7.5552867724662285,0.0,0.0,0.0,0,0,0,0,15,10.082989040411121,0
flaml,test,,7,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,87586.45648790023,79.69650271874453,118.77342766562063,-59.87618191658901,13.277998242652043,0.0,0.0,0.0,0,0,0,0,1,10.180348120793708,1
flaml,test,,7,2015-06-06,2015-07-17,2015-06-13,Saturday,6,2015,1099,1099,696317.0,633.5914467697908,82775.67530152088,75.3190858066614,100.78171018355485,-68.45541594426992,11.887642453296541,0.0,0.0,0.0,0,0,0,0,2,10.180348120793708,1
flaml,test,,7,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,116936.69407968153,106.30608552698321,142.67951894500843,100.7481414779342,11.511896561265766,1.0,0.25727272727272726,0.0,0,1,1,0,3,10.180348120793708,1
flaml,test,,7,2015-06-06,2015-07-17,2015-06-25,Thursday,6,2015,1099,1099,723078.0,657.9417652411283,80623.5367773604,73.3608159939585,91.81831212447946,-69.6645777212842,11.150046990416026,0.0,0.0,0.0,0,0,0,0,4,10.180348120793708,1
flaml,test,,7,2015-06-06,2015-07-17,2015-06-18,Thursday,6,2015,1099,1099,829480.0,754.7588717015468,84881.4592839724,77.23517678250447,101.71024364454243,-71.53250856917148,10.233092935811882,1.0,0.0,0.0,0,1,0,0,5,10.180348120793708,1
flaml,test,,7,2015-06-06,2015-07-17,2015-07-22,Wednesday,7,2015,1098,1098,701078.0,638.5045537340619,68044.14035020008,61.97098392550098,80.37008248806829,-46.828295388395254,9.705644785630142,0.0,0.6165755919854281,0.0,0,0,1,0,6,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-06-19,Friday,6,2015,1099,1099,859655.0,782.2156505914468,81992.19112811083,74.60617937043752,100.37183101418064,-70.17670948668454,9.537801923807903,1.0,0.0,0.0,0,1,0,0,7,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-07-20,Monday,7,2015,1098,1098,811906.0,739.4408014571949,76790.94747473138,69.93711063272438,89.33190690476042,66.60093358766285,9.458108139948637,0.0,0.6165755919854281,0.0,0,0,1,0,8,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-06-24,Wednesday,6,2015,1099,1099,722148.0,657.0955414012739,64781.03440772217,58.94543622176721,76.0255996284388,-52.41097309071095,8.970603589253473,0.0,0.0,0.0,0,0,0,0,9,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-07-06,Monday,7,2015,1099,1099,836991.0,761.5932666060055,74719.29880699866,67.98844295450287,97.66512877130424,59.43159979016971,8.927132885180205,0.0,0.2575068243858053,0.0,0,0,1,0,10,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-06-20,Saturday,6,2015,1099,1099,690765.0,628.5395814376706,60839.93457697827,55.35935812281917,78.26847190009607,-41.4002768724967,8.807616856235951,0.0,0.0,0.0,0,0,0,0,11,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-06-21,Sunday,6,2015,32,32,42139.0,1316.84375,3689.691273072398,115.30285228351244,161.27918303962366,-97.58455971880761,8.756001027723482,0.0,0.0,0.0,0,0,0,0,12,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-07-12,Sunday,7,2015,32,32,45392.0,1418.5,3933.327434391757,122.9164823247424,180.58028033323345,-108.25432931956941,8.66524373103577,0.0,0.0,0.0,0,0,0,0,13,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-07-11,Saturday,7,2015,1098,1098,680679.0,619.9262295081967,55656.13857949575,50.688650800997955,72.15075655703488,-31.218881144650833,8.176561724321708,0.0,0.0,0.0,0,0,0,0,14,10.180348120793708,0
flaml,test,,7,2015-06-06,2015-07-17,2015-06-26,Friday,6,2015,1100,1100,751035.0,682.7590909090909,61342.60032121886,55.76600029201715,72.92244061033209,-48.00264280476151,8.16774189235107,0.0,0.0,0.0,0,0,0,0,15,10.180348120793708,0
flaml,test,,14,2015-06-06,2015-07-17,2015-06-22,Monday,6,2015,1099,1099,744095.0,677.0655141037307,108476.01008578106,98.70428579233946,132.0598909572398,-91.80912407133893,14.578247412733733,0.0,0.0,0.0,0,0,0,0,1,10.17010374941649,1
flaml,test,,14,2015-06-06,2015-07-17,2015-06-30,Tuesday,6,2015,1100,1100,1015790.0,923.4454545454546,124669.57365494725,113.33597604995205,148.94018476791015,108.74086454070363,12.273164104288018,1.0,0.25727272727272726,0.0,0,1,1,0,2,10.17010374941649,1
flaml,test,,14,2015-06-06,2015-07-17,2015-07-31,Friday,7,2015,1098,1098,956007.0,870.6803278688525,114280.42686113977,104.08053448191237,130.67378214100555,98.24847081602654,11.953932017353406,1.0,0.8378870673952641,0.0,0,1,1,0,3,10.17010374941649,1
flaml,test,,14,2015-06-06,2015-07-17,2015-07-04,Saturday,7,2015,1099,1099,659636.0,600.2147406733394,72487.30865903087,65.95751470339478,103.72483235988082,-43.12049206728183,10.988986146758343,0.0,0.0,0.0,0,0,0,0,4,10.17010374941649,1
