model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
flaml_log,1,test,,macro,54.196254831218354,70.64096383648625,7.581254844346652,-18.42783529712716,46200,1300.2786664000014,1100.0,9.466322329546216
flaml_log,7,test,,macro,54.28573268991686,69.95591615881168,7.676644015497748,-13.11557908057392,46200,1331.769114100025,1100.0,9.61767972729617
flaml_log,14,test,,macro,52.11458486859275,67.20992028486184,7.124558084862205,0.8297013013175454,46200,1652.0963472999865,1100.0,9.198922605501842
flaml_log,1,test,,micro,54.286591154614094,77.692947591942,7.341932134082285,-18.42783529712716,46200,1300.2786664000014,,
flaml_log,7,test,,micro,54.291824037271454,77.54567457555135,7.3677295979005155,-13.115579080573921,46200,1331.769114100025,,
flaml_log,14,test,,micro,52.17418412131012,77.9882779103733,7.1123673217425605,0.8297013013175454,46200,1652.0963472999865,,
flaml_log,1,val,1,macro,72.01284509435528,95.53045855431992,8.688542245325472,-20.64669822470859,46200,1200.1447827001102,1100.0,10.564197007790069
flaml_log,1,val,2,macro,58.14946431181108,79.16315065334028,8.348304019941729,-4.947015210106259,46200,1201.150192399975,1100.0,11.027868778268164
flaml_log,1,val,3,macro,87.1546841429805,112.3732231480122,11.127706709775325,-11.555257618804617,46200,1200.0861998000182,1100.0,13.159666356645783
flaml_log,7,val,1,macro,127.70434304329645,181.51910898730205,14.909741641655618,-8.70711426469924,46200,1199.894078799989,1100.0,17.17293955268618
flaml_log,7,val,2,macro,63.6378343401956,87.80620973428024,8.767997941485204,14.244307617253556,46200,1215.0460167999845,1100.0,11.872119926029194
flaml_log,7,val,3,macro,97.70275611568653,129.95008837373632,12.845094980723662,-4.084798729630851,46200,1220.302107400028,1100.0,15.458357801391626
flaml_log,14,val,1,macro,140.5509023700036,184.5573769470253,18.054853662834322,-8.34976377776175,46200,1201.4311814999674,1100.0,21.744661891716706
flaml_log,14,val,2,macro,69.21837395276737,92.25075280010185,9.66354910849554,1.1224978091542013,46200,1207.0882525000488,1100.0,12.70531888001545
flaml_log,14,val,3,macro,66.807672776231,84.80142075788737,8.737841344742744,-0.7985518330635415,46200,1338.7112857000902,1100.0,11.051999426860235
flaml_log,1,val,1,micro,72.144900768147,103.25003482123478,8.469823424064703,-20.64669822470859,46200,1200.1447827001102,,
flaml_log,1,val,2,micro,58.157521530074746,87.73526372752565,8.062812025596182,-4.947015210106259,46200,1201.150192399975,,
flaml_log,1,val,3,micro,87.75446075281559,124.03688761794105,10.999071038802033,-11.55525761880462,46200,1200.0861998000182,,
flaml_log,7,val,1,micro,128.23192225987907,199.23518672193833,14.759686922003008,-8.70711426469924,46200,1199.894078799989,,
flaml_log,7,val,2,micro,63.57668000623025,98.32817000300334,8.529435687868279,14.244307617253556,46200,1215.0460167999845,,
flaml_log,7,val,3,micro,98.35270223546536,144.17587676742545,12.641223078119717,-4.08479872963085,46200,1220.302107400028,,
flaml_log,14,val,1,micro,137.56561366023843,207.6526762813583,15.710794943207192,-8.349763777761748,46200,1201.4311814999674,,
flaml_log,14,val,2,micro,69.1328370921071,101.87566894411773,9.41630259055394,1.1224978091542013,46200,1207.0882525000488,,
flaml_log,14,val,3,micro,67.33268653161684,97.81987896066445,8.625946860138786,-0.7985518330635418,46200,1338.7112857000902,,
