model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
lightgbm_log,1,test,,macro,56.80550897717427,72.64701572424552,7.896254670467611,-14.298395450569002,46200,18.238449811935425,1100.0,9.851117921193943
lightgbm_log,7,test,,macro,55.55711610940658,70.73186874837417,7.8241390961657515,-21.6416667686979,46200,17.200103282928467,1100.0,9.866667571242422
lightgbm_log,14,test,,macro,53.61516178254243,68.782922685205,7.345238470623908,2.154773571866109,46200,16.711445093154907,1100.0,9.384594953574913
lightgbm_log,1,test,,micro,56.90590025583408,80.60331187449107,7.696177800467375,-14.298395450569002,46200,18.238449811935425,,
lightgbm_log,7,test,,micro,55.622394888211204,79.03475229579797,7.548296127288855,-21.6416667686979,46200,17.200103282928467,,
lightgbm_log,14,test,,micro,53.707433401646185,79.49117642442205,7.321379350607109,2.1547735718661087,46200,16.711445093154907,,
lightgbm_log,1,val,1,macro,78.71170960537766,100.97566192456816,9.519172536471016,-17.854300852445544,46200,19.199917554855347,1100.0,11.574585795104802
lightgbm_log,1,val,2,macro,70.40192799486752,90.84548890361674,10.105385389365704,-34.57247439274846,46200,20.76294255256653,1100.0,12.739301119915336
lightgbm_log,1,val,3,macro,79.08332227983051,101.16119864009444,10.122374453923724,-0.0029518335909881573,46200,15.434947490692139,1100.0,12.473184838584602
lightgbm_log,7,val,1,macro,118.1973889097541,174.27421027108664,13.782622480903246,-3.9878993965729337,46200,16.841663599014282,1100.0,16.171776928032134
lightgbm_log,7,val,2,macro,70.38222214026626,90.73050058615328,9.845360116054094,-29.736244710225865,46200,18.357860326766968,1100.0,12.490483391714402
lightgbm_log,7,val,3,macro,93.85471383961963,124.12501535212306,12.524686818913986,-0.22324977045366184,46200,16.556019067764282,1100.0,15.489198495112811
lightgbm_log,14,val,1,macro,140.28787519215962,185.69292388240822,18.283986433410174,-7.132228028745576,46200,20.95048236846924,1100.0,21.316851008028795
lightgbm_log,14,val,2,macro,68.71537171095642,93.92671379685478,9.659915848051137,-1.311587266378821,46200,20.26588726043701,1100.0,12.546454324366904
lightgbm_log,14,val,3,macro,70.66438050929519,90.93193337296503,9.325558228465106,-4.512307512893813,46200,16.495437145233154,1100.0,11.523487879100978
lightgbm_log,1,val,1,micro,78.88186040900774,109.7332701913381,9.260743613372583,-17.854300852445544,46200,19.199917554855347,,
lightgbm_log,1,val,2,micro,70.41126806112162,99.42245089682406,9.761640522578132,-34.57247439274846,46200,20.76294255256653,,
lightgbm_log,1,val,3,micro,79.60364339830137,112.54302281247085,9.9774543786629,-0.0029518335909881886,46200,15.434947490692139,,
lightgbm_log,7,val,1,micro,118.52892620563695,190.79716191596302,13.642857497300136,-3.9878993965729346,46200,16.841663599014282,,
lightgbm_log,7,val,2,micro,70.30630879733654,99.15226165653733,9.432281447844154,-29.73624471022586,46200,18.357860326766968,,
lightgbm_log,7,val,3,micro,94.4275576323011,135.85910246888483,12.136726227350072,-0.22324977045366184,46200,16.556019067764282,,
lightgbm_log,14,val,1,micro,135.67157174766743,208.17010404679124,15.49448431651427,-7.132228028745576,46200,20.95048236846924,,
lightgbm_log,14,val,2,micro,68.57338616315063,102.41575900742376,9.34010205469857,-1.3115872663788213,46200,20.26588726043701,,
lightgbm_log,14,val,3,micro,71.07920647771134,101.03769442967968,9.105911103809445,-4.512307512893813,46200,16.495437145233154,,
