model,h1_test_wape,h7_test_wape,h14_test_wape,mean_test_wape_1_7_14,rank_mean_test_wape_1_7_14
autogluon,7.9821306040132,6.9361575996243,7.075806497606177,7.331364900414559,1.0
lightgbm,7.343486448894828,7.087498690563063,7.624479721176054,7.351821620211315,2.0
autogluon_quick,7.9821306040132,6.9361575996243,7.183270903123447,7.367186368920316,3.0
xgboost,7.528952890695675,7.217209324856635,7.632781860967308,7.459648025506539,4.0
flaml_quick,7.407651542220671,7.720222563336613,7.329348192681586,7.485740766079623,5.0
pycaret,7.168887181599914,7.959119816652436,7.392143094777227,7.506716697676526,6.0
flaml,8.452072482736321,9.018503420042649,6.969688944034126,8.146754948937698,7.0
linear_regression,11.11958640543712,10.7715557281671,10.54431482977138,10.811818987791867,8.0
seasonal_naive,28.431730984676072,17.97279572651761,8.719417019105702,18.374647910099796,9.0
last_value,28.51640323159906,17.97279572651761,8.719417019105702,18.40287199240746,10.0
