model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
autogluon_log,1,test,,macro,58.53017173837318,75.84029976314972,8.093723596210276,-8.344070813610998,46200,1200.4718826999997,1100.0,10.18840572787256
autogluon_log,7,test,,macro,50.96570341259023,65.91618843968924,7.108811344829529,-6.750668114186313,46200,1200.3802976000006,1100.0,8.840607915127366
autogluon_log,14,test,,macro,52.25115774470969,67.33088387073718,7.175902285635268,3.2023230787600765,46200,1200.5461370999983,1100.0,9.19941733428872
autogluon_log,1,test,,micro,58.66000618846543,85.95365112205178,7.933409986896082,-8.344070813610998,46200,1200.4718826999997,,
autogluon_log,7,test,,micro,51.02689324764917,74.70748150787657,6.924658700203601,-6.750668114186315,46200,1200.3802976000006,,
autogluon_log,14,test,,micro,52.29597801239294,77.60647269956448,7.128970224222286,3.202323078760077,46200,1200.5461370999983,,
autogluon_log,1,train,1,macro,46.95685889895619,63.81013724498272,6.3817218465570456,4.075635119813023,759000,754.0983815,1100.0,8.003501977132064
autogluon_log,1,train,2,macro,45.71032783018495,61.922010996476324,6.167280106510416,3.764646716439597,789800,913.3537685000001,1100.0,7.574838683083344
autogluon_log,1,train,3,macro,38.03795312186771,51.17848482785036,5.1623574697232435,2.8471133828409423,789800,1200.3275497000004,1100.0,6.092228318157031
autogluon_log,1,train,,macro,38.48285809236298,51.99741846178612,5.224361775000533,2.5052667349901414,943800,1200.4718826999997,1100.0,6.159030243103494
autogluon_log,7,train,1,macro,50.209638086069425,67.40892859220516,6.72673821349424,4.570780076441307,759000,484.1460542999994,1100.0,8.114665527205506
autogluon_log,7,train,2,macro,49.61279636730162,68.86016058913282,6.6168058682642545,3.818385224929038,789800,553.6650557999983,1100.0,8.052483511186473
autogluon_log,7,train,3,macro,43.46794950164531,59.98210365111213,5.845728034081554,2.5843357666824525,789800,1200.4283209000005,1100.0,7.076599095214155
autogluon_log,7,train,,macro,39.6148733025395,53.60102382762903,5.348823376263947,2.395379085709381,943800,1200.3802976000006,1100.0,6.333022471885303
autogluon_log,14,train,1,macro,60.023719905367855,82.78178723589019,8.026744351120666,5.6245918651928,759000,463.3399203000008,1100.0,9.901756551712278
autogluon_log,14,train,2,macro,61.052836789050886,84.39380161830938,8.089988432812873,5.8041758252135,789800,475.1585948000011,1100.0,9.937773156466704
autogluon_log,14,train,3,macro,47.959220346194066,66.37754317690136,6.428020486510352,2.603665293199348,789800,1200.4538901000014,1100.0,7.960264303755446
autogluon_log,14,train,,macro,40.20062050035521,54.38191598976919,5.423013298309456,2.5485180342480254,943800,1200.5461370999983,1100.0,6.463371923031218
autogluon_log,1,train,1,micro,47.31994880694627,71.04759914329574,6.244622126854514,4.075635119813022,759000,754.0983815,,
autogluon_log,1,train,2,micro,46.17931057478301,68.98306991165843,6.03390568489506,3.7646467164395987,789800,913.3537685000001,,
autogluon_log,1,train,3,micro,38.389444586305906,56.28884494195574,5.016062064290866,2.8471133828409427,789800,1200.3275497000004,,
autogluon_log,1,train,,micro,38.80827741195494,57.13068481955413,5.078494902389372,2.505266734990143,943800,1200.4718826999997,,
autogluon_log,7,train,1,micro,50.72822838925037,76.440543089195,6.6833789759300055,4.570780076441308,759000,484.1460542999994,,
autogluon_log,7,train,2,micro,50.25428865758608,78.37997922928955,6.556091101786023,3.818385224929038,789800,553.6650557999983,,
autogluon_log,7,train,3,micro,43.95382226372616,67.3616244679241,5.734142711603178,2.584335766682453,789800,1200.4283209000005,,
autogluon_log,7,train,,micro,39.99223741143105,59.37151689655664,5.231824965358171,2.395379085709381,943800,1200.3802976000006,,
autogluon_log,14,train,1,micro,60.72588407684694,95.97008717669426,8.004781612339592,5.624591865192801,759000,463.3399203000008,,
autogluon_log,14,train,2,micro,61.98917846951631,98.36155347312081,8.08599792032825,5.8041758252134965,789800,475.1585948000011,,
autogluon_log,14,train,3,micro,48.54043682830709,75.60478251787423,6.331715969401499,2.6036652931993487,789800,1200.4538901000014,,
autogluon_log,14,train,,micro,40.5749266479432,60.230948712128566,5.305200184421513,2.548518034248024,943800,1200.5461370999983,,
autogluon_log,1,val,1,macro,67.33514641951241,85.9557304325929,8.11242821004383,-18.032160551793783,46200,754.0983815,1100.0,10.164808490655096
autogluon_log,1,val,2,macro,52.18207439129544,72.26283054983854,7.475225685127761,-2.084472542570539,46200,913.3537685000001,1100.0,10.28996527745453
autogluon_log,1,val,3,macro,79.61124977723381,101.73661206802517,10.167039352830612,0.989028618410478,46200,1200.3275497000004,1100.0,12.262795799867083
autogluon_log,7,val,1,macro,93.97412886553698,151.10139077039844,10.961598808989848,2.7257281087117975,46200,484.1460542999994,1100.0,13.214957105756234
autogluon_log,7,val,2,macro,51.28767622043954,70.60716452647736,7.065009912524584,-0.30076729206523334,46200,553.6650557999983,1100.0,9.693613638721992
autogluon_log,7,val,3,macro,88.3728749983146,115.7803326947913,11.651198871644302,1.792408348703328,46200,1200.4283209000005,1100.0,14.298391384459093
autogluon_log,14,val,1,macro,119.5408994720077,164.32020516960824,14.413054660248404,1.2561138935480678,46200,463.3399203000008,1100.0,19.045643196934794
autogluon_log,14,val,2,macro,53.62362442744762,73.69964514013954,7.50950547177718,0.10301920773761315,46200,475.1585948000011,1100.0,10.213127969424772
