model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
autogluon_log,1,test,,macro,58.53017173837318,75.84029976314972,8.093723596210276,-8.344070813610998,46200,300.30142369999885,1100.0,10.18840572787256
autogluon_log,7,test,,macro,50.96570341259023,65.91618843968924,7.108811344829529,-6.750668114186313,46200,300.36401970000225,1100.0,8.840607915127366
autogluon_log,14,test,,macro,52.25115774470969,67.33088387073718,7.175902285635268,3.2023230787600765,46200,300.26673140000275,1100.0,9.19941733428872
autogluon_log,1,test,,micro,58.66000618846543,85.95365112205178,7.933409986896082,-8.344070813610998,46200,300.30142369999885,,
autogluon_log,7,test,,micro,51.02689324764917,74.70748150787657,6.924658700203601,-6.750668114186315,46200,300.36401970000225,,
autogluon_log,14,test,,micro,52.29597801239294,77.60647269956448,7.128970224222286,3.202323078760077,46200,300.26673140000275,,
autogluon_log,1,train,1,macro,46.99625776968522,63.87872584290821,6.387312700791207,4.068942330047589,759000,300.3644110000005,1100.0,8.012551316600895
autogluon_log,1,train,2,macro,45.738221891204766,61.978584861041114,6.171142958859605,3.7568363748533358,789800,300.43488029999935,1100.0,7.577798724504793
autogluon_log,1,train,3,macro,38.01320267795119,51.164841019132794,5.159377869836929,2.8277264910589324,789800,300.34236969999984,1100.0,6.0891221436131895
autogluon_log,1,train,,macro,38.48285809236298,51.99741846178612,5.224361775000533,2.5052667349901414,943800,300.30142369999885,1100.0,6.159030243103494
autogluon_log,7,train,1,macro,50.251024309315426,67.47338913394584,6.730853606158661,4.5605745613025155,759000,290.7467066999998,1100.0,8.120917518944088
autogluon_log,7,train,2,macro,49.59734287682068,68.87443488167652,6.613388411459613,3.7699824501229218,789800,300.66633680000086,1100.0,8.050638885940293
autogluon_log,7,train,3,macro,42.38186415622434,58.199435445481356,5.70019796212101,3.3771288834329356,789800,300.25466849999793,1100.0,6.84143821886186
autogluon_log,7,train,,macro,39.6148733025395,53.60102382762903,5.348823376263947,2.395379085709381,943800,300.36401970000225,1100.0,6.333022471885303
autogluon_log,14,train,1,macro,60.023719905367855,82.78178723589019,8.026744351120666,5.6245918651928,759000,289.0173606999997,1100.0,9.901756551712278
autogluon_log,14,train,2,macro,61.05125324738901,84.3907790290282,8.089880943233494,5.80477630864368,789800,289.85949040000196,1100.0,9.936354618164085
autogluon_log,14,train,3,macro,52.41217069799178,71.00034505439034,6.972451247279666,4.412255041524514,789800,300.2835362000005,1100.0,8.512412455305217
autogluon_log,14,train,,macro,40.20062050080337,54.381915990332104,5.423013298353425,2.54851803460164,943800,300.26673140000275,1100.0,6.463371923031218
autogluon_log,1,train,1,micro,47.35950045015233,71.12835434847442,6.249841597131746,4.068942330047587,759000,300.3644110000005,,
autogluon_log,1,train,2,micro,46.207063273702964,69.04934676068015,6.037531922829321,3.756836374853336,789800,300.43488029999935,,
autogluon_log,1,train,3,micro,38.36357887765825,56.27365281065704,5.012682385285043,2.827726491058933,789800,300.34236969999984,,
