model,horizon,test_wape,test_mae,test_rmse,test_bias,test_n,val_wape_mean,val_wape_std,val_mae_mean,val_rmse_mean,val_bias_mean,val_n_mean,test_training_time_seconds,rank_test_wape_within_horizon
pycaret,1,7.168887181599914,52.004502464090486,66.65372699072354,-9.470547551021395,46200.0,8.825855859995768,1.1349140915563025,67.96194529771743,91.68238135858844,1.7194330696663584,46200.0,2458.668844938278,1.0
pycaret_quick,1,7.168887181599914,52.004502464090486,66.65372699072354,-9.470547551021395,46200.0,8.75187427310883,1.0569258280589997,67.31682969956675,90.72598579310612,2.7074508628045755,46200.0,630.1915571689606,1.0
lightgbm,1,7.343486448894828,52.87004361407808,67.28615395894448,-9.93846307806701,46200.0,8.897020974864645,1.048760706578771,68.35790431546467,88.57095565878546,-15.100479623567393,46200.0,20.824724912643436,2.0
flaml,1,7.455011371146502,54.62333205211918,69.22309676113687,-3.1082840575950867,46200.0,8.433187597950115,1.4732964199234975,65.27353132202971,85.81944070392154,-10.23612156645714,46200.0,1347.9539951999975,3.0
xgboost,1,7.528952890695675,54.36775077658995,69.51221759764684,-11.10327475130816,46200.0,8.932281488161989,1.3220434101665741,68.27515803074675,88.59522350030515,-13.173945241435439,46200.0,31.36436438560486,4.0
autogluon,1,8.093723596210276,58.53017173837318,75.84029976314972,-8.344070813610998,46200.0,8.584897749334068,1.406728760129619,66.37615686268056,86.65172435015221,-6.37586815865128,46200.0,1200.4718826999997,5.0
autogluon_quick,1,8.093723596210276,58.53017173837318,75.84029976314972,-8.344070813610998,46200.0,8.600731658210533,1.424973850143898,66.49924971191392,86.78683302371228,-6.519144870809204,46200.0,300.30142369999885,5.0
flaml_quick,1,8.643550075844578,63.1131721407009,79.58239627906698,-6.763853780093249,46200.0,8.80161732394149,1.3665862471199746,68.25196264024716,88.36318983293988,-11.370634162966887,46200.0,339.8582650000026,6.0
linear_regression,1,11.11958640543712,80.90367510265199,101.6537808183637,3.4246120748561566,46200.0,12.082814014475026,0.7016840822136704,93.85635606229005,120.26919271367778,1.0944018571810947,46200.0,4.247532606124878,7.0
last_value,1,28.51640323159906,203.31615978086427,348.58348031529545,83.44625541125541,46200.0,30.919921778893563,4.1737078982006866,236.18103270401426,388.0949842701496,107.48080086580087,46200.0,0.0,8.0
