model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
flaml_log,1,test,,macro,59.165379336456056,77.27935495690413,8.182608518262906,-13.01186516271703,46200,326.6994954999536,1100.0,10.313451283278233
flaml_log,7,test,,macro,72.41055605194407,92.55710894200202,10.182589449360409,-43.42229010743107,46200,335.36088119994383,1100.0,12.4209184724535
flaml_log,14,test,,macro,53.05807171279551,68.10761984832129,7.255119216099073,2.0938912658156204,46200,364.9835469999816,1100.0,9.242024443500071
flaml_log,1,test,,micro,59.3218834004306,86.24499360131435,8.022924864658505,-13.011865162717028,46200,326.6994954999536,,
flaml_log,7,test,,micro,72.48690659195105,101.16768979018094,9.836912585422288,-43.422290107431074,46200,335.36088119994383,,
flaml_log,14,test,,micro,53.14125367984291,78.77765590751217,7.244197920376709,2.09389126581562,46200,364.9835469999816,,
flaml_log,1,val,1,macro,78.97088516191293,101.56145604795842,9.621027372815192,-21.928238389931234,46200,305.34583860007115,1100.0,11.72777785936192
flaml_log,1,val,2,macro,57.98221828681685,79.21778507480447,8.328430217780575,-3.7418769841379933,46200,302.1718376999488,1100.0,11.23188593411313
flaml_log,1,val,3,macro,87.1546841429805,112.3732231480122,11.127706709775325,-11.555257618804617,46200,299.8613383000484,1100.0,13.159666356645783
flaml_log,7,val,1,macro,127.70434304329645,181.51910898730205,14.909741641655618,-8.70711426469924,46200,302.63096249999944,1100.0,17.17293955268618
flaml_log,7,val,2,macro,65.08035219056116,88.991716215641,8.961471710878167,8.75603964834904,46200,316.2001053999411,1100.0,11.931024441568699
flaml_log,7,val,3,macro,99.93093893092478,134.67552669758334,13.251301560777001,-4.5318568937197545,46200,301.1767688000109,1100.0,16.118923442645144
flaml_log,14,val,1,macro,140.5509023700036,184.5573769470253,18.054853662834322,-8.34976377776175,46200,300.1728170000715,1100.0,21.744661891716706
flaml_log,14,val,2,macro,69.23733014188802,91.75795671420622,9.677760501678614,2.043862144172966,46200,350.252157800016,1100.0,12.64022559503108
flaml_log,14,val,3,macro,66.807672776231,84.80142075788737,8.737841344742744,-0.7985518330635415,46200,299.8397223999491,1100.0,11.051999426860235
flaml_log,1,val,1,micro,79.09062198246598,109.04546122469888,9.285252257034086,-21.928238389931234,46200,305.34583860007115,,
flaml_log,1,val,2,micro,57.96418049861963,87.86715164162558,8.036007712887441,-3.7418769841379933,46200,302.1718376999488,,
flaml_log,1,val,3,micro,87.75446075281559,124.03688761794105,10.999071038802033,-11.55525761880462,46200,299.8613383000484,,
flaml_log,7,val,1,micro,128.23192225987907,199.23518672193833,14.759686922003008,-8.70711426469924,46200,302.63096249999944,,
flaml_log,7,val,2,micro,65.01232869561524,99.35778113139982,8.7220420517942,8.75603964834904,46200,316.2001053999411,,
flaml_log,7,val,3,micro,100.5616498051782,147.1652364802059,12.925137992117286,-4.531856893719754,46200,301.1767688000109,,
flaml_log,14,val,1,micro,137.56561366023843,207.6526762813583,15.710794943207192,-8.349763777761748,46200,300.1728170000715,,
flaml_log,14,val,2,micro,69.17012351978192,101.47622493165923,9.4213812232309,2.043862144172966,46200,350.252157800016,,
flaml_log,14,val,3,micro,67.33268653161684,97.81987896066445,8.625946860138786,-0.7985518330635418,46200,299.8397223999491,,
