model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
xgboost_log,1,test,,macro,54.52057078885623,70.36402694129255,7.5726919361131575,-9.395193868694884,46200,32.53813719749451,1100.0,9.37088132464501
xgboost_log,1,test,,micro,54.651576861138736,78.81425778591202,7.391294236771362,-9.395193868694884,46200,32.53813719749451,,
xgboost_log,7,test,,macro,61.02356954686457,76.95476614750645,8.538831175308859,-24.117743809192213,46200,22.680458545684814,1100.0,10.70323571052102
xgboost_log,7,test,,micro,61.11634146659753,86.95425425768018,8.293857978131681,-24.117743809192213,46200,22.680458545684814,,
xgboost_log,14,test,,macro,57.27557650170767,72.88449290040094,7.842898237771617,-3.035790969551384,46200,22.954249143600464,1100.0,10.041552656052863
xgboost_log,14,test,,micro,57.41950780651505,84.37715692974804,7.8274080914050455,-3.0357909695513836,46200,22.954249143600464,,
xgboost_log,1,val,1,macro,71.36639574168196,93.20673523642863,8.668678062067963,-14.1702917662121,46200,28.905521631240845,1100.0,10.554483019454773
xgboost_log,1,val,1,micro,71.507371664966,100.88303066725628,8.394977400656915,-14.1702917662121,46200,28.905521631240845,,
xgboost_log,7,val,1,macro,117.7404574625722,173.24476631647553,13.724675520993253,-5.199543175470262,46200,20.188143968582153,1100.0,16.091878977114384
xgboost_log,7,val,1,micro,118.16518526386592,190.29658157001987,13.600990368377474,-5.199543175470262,46200,20.188143968582153,,
xgboost_log,14,val,1,macro,135.23003160385187,182.86248750443517,16.806067830597986,-5.994521118263145,46200,20.316691875457764,1100.0,19.989062696477134
xgboost_log,14,val,1,micro,135.18003149985896,208.92219404860944,15.438347555050571,-5.994521118263146,46200,20.316691875457764,,
xgboost_log,1,val,2,macro,65.46061561140561,86.55940729197931,9.436618548878224,-22.72294448538776,46200,27.992602348327637,1100.0,11.939518879218143
xgboost_log,1,val,2,micro,65.49066748315018,94.03734858424056,9.07946087548455,-22.72294448538776,46200,27.992602348327637,,
xgboost_log,7,val,2,macro,83.55896393211766,105.30243219477876,11.314681570929663,-40.736101391614774,46200,20.675907135009766,1100.0,13.741309574985003
xgboost_log,7,val,2,micro,83.59139505932286,116.1147051476429,11.21460617553189,-40.736101391614774,46200,20.675907135009766,,
xgboost_log,14,val,2,macro,69.60596162511578,93.66033759222702,9.777168640257502,4.605499339248194,46200,20.285175323486328,1100.0,12.842687467185431
xgboost_log,14,val,2,micro,69.45028393787305,103.17418204058927,9.459540734421328,4.605499339248195,46200,20.285175323486328,,
xgboost_log,1,val,3,macro,71.91791848162224,93.22186525439108,9.210985541342016,11.2273844531501,46200,30.4005229473114,1100.0,11.105762149092488
xgboost_log,1,val,3,micro,72.43741080801922,103.93686665697136,9.079244753022158,11.227384453150101,46200,30.4005229473114,,
xgboost_log,7,val,3,macro,91.77210626779701,119.00837530221092,12.166031633905385,4.450555464344108,46200,20.741044282913208,1100.0,15.364750669066341
xgboost_log,7,val,3,micro,92.43498941271258,133.3035917494808,11.880622441793811,4.450555464344108,46200,20.741044282913208,,
xgboost_log,14,val,3,macro,71.96283711238539,92.11765659023197,9.501360118684564,-2.555379190651369,46200,20.66213846206665,1100.0,11.984475476714131
xgboost_log,14,val,3,micro,72.44818554313319,103.41173909561304,9.281290125191973,-2.555379190651369,46200,20.66213846206665,,
