model,horizon,test_wape_mean,test_wape_std,test_wape_min,test_wape_max,test_mae_mean,test_rmse_mean,test_bias_mean,test_wape_p90_mean,train_time_seconds_mean,n_seeds,n_rows,rank_test_wape_within_horizon
pycaret_quick,1,6.893487747159541,0.00799661971005147,6.885445180550507,6.901437613992713,49.914885310544626,63.89480533603319,-8.480029150053463,9.026133997521915,561.8383755683899,3,3,1.0
lightgbm,1,7.364135974311978,0.04833738406723118,7.329553048107653,7.419368425933454,53.041157827003055,67.53067331682483,-9.217191511990817,9.198243177502002,14.707858403523764,3,3,2.0
xgboost,1,7.452268394667421,0.0863480568758858,7.358739164692774,7.528952890695675,53.78860327179968,69.02367966727319,-10.644722227836928,9.253502477914404,79.3524215221405,3,3,3.0
autogluon_quick,1,7.5636262765159215,0.03194885313795166,7.527025654817365,7.585929721798341,54.52275208589865,69.31871735081504,-14.009950631759923,9.637723079851067,302.5718715985616,3,3,4.0
flaml,1,7.6986829590168595,0.6532361063472413,7.290041682511157,8.452072482736321,55.95435753542873,71.52492864377386,-7.862560441290539,9.6373334315988,1427.3672122160594,3,3,5.0
autogluon,1,8.078330076247662,0.08950111965106386,7.9821306040132,8.159136028519507,58.43557749068674,75.57822691989809,-8.673875276134083,10.112454767215612,1202.4932029247284,3,3,6.0
flaml_quick,1,8.134112356523168,0.5815826699387531,7.5004564182167615,8.643550075844578,58.771266064731584,74.99445433696042,-11.967067499611664,10.622083390148624,329.79447929064435,3,3,7.0
pycaret,1,8.429977883968697,0.10419564714800969,8.35230064213265,8.548386709487128,61.32171638396368,77.65442690042225,-4.204041735286622,11.337745191573262,693.2764688332876,3,3,8.0
linear_regression,1,11.119586405437119,0.0,11.119586405437119,11.119586405437119,80.90367510265199,101.6537808183637,3.4246120748561566,16.93673857045186,2.556950330734253,3,3,9.0
last_value,1,28.51640323159906,0.0,28.51640323159906,28.51640323159906,203.31615978086427,348.58348031529545,83.44625541125541,34.22421062506068,0.0,3,3,10.0
autogluon_quick,7,6.73413458402974,0.0512253471585471,6.690942908455309,6.790728929818276,48.8940479602231,63.12941960299622,1.6799876609789628,8.582013983757749,302.52472082773846,3,3,1.0
autogluon,7,6.956833274089139,0.14276753266805464,6.82553087781359,7.108811344829529,50.01742198277217,64.7021025023544,-1.9212680389830306,8.741127193675418,1201.297998746236,3,3,2.0
lightgbm,7,7.007796977482978,0.12273543957625745,6.866458605321299,7.087498690563063,50.82355067424868,65.23805658205441,-6.432247000769568,8.972565645505727,10.824269930521647,3,3,3.0
pycaret_quick,7,7.643001298787021,0.011838767986151364,7.63262559435501,7.655897263326065,54.95155715688915,69.8538206909958,-16.341196923753127,9.732853211531134,596.3216944535574,3,3,4.0
xgboost,7,7.714350523118912,0.33028049077160027,7.420331694343833,8.071716536710344,55.41355087785795,69.84690903724903,-19.880720940682107,9.852778817362582,53.46567718187968,3,3,5.0
pycaret,7,7.7752483158884145,0.21854452235625996,7.522902872875344,7.90316496825041,56.337899741571555,71.68867973986599,-18.71863584559128,9.905917566608744,706.2052241961161,3,3,6.0
flaml_quick,7,7.988766463275659,1.300634684975605,7.22314183343232,9.4905134404518,56.689834672240075,73.19731069094122,-12.209530302543042,10.262912086369345,354.16772786776227,3,3,7.0
flaml,7,8.11652889674375,0.8671019112861843,7.28911475767194,9.018503420042647,57.681351737132125,73.22667078197827,-15.747394111056733,10.114376344264244,1357.1903769175212,3,3,8.0
linear_regression,7,10.7715557281671,0.0,10.7715557281671,10.7715557281671,79.07796732535687,98.635618505654,-7.455812431371431,15.231503531435115,2.666268507639567,3,3,9.0
last_value,7,17.97279572651761,0.0,17.97279572651761,17.97279572651761,127.06522025307481,155.37356491047154,-2.3351515151515154,24.323555198505478,0.0,3,3,10.0
autogluon,14,7.1398321366155715,0.05559607684643162,7.075806497606177,7.175902285635268,52.147894841913626,67.11732578655877,6.416017764908197,9.140826157685737,1205.6622659365337,3,3,1.0
autogluon_quick,14,7.16027716367254,0.015568621993169189,7.142332768805162,7.170187982648116,52.46031077802045,66.92624152407105,5.951103629310637,9.1347651099406,302.34433539708454,3,3,2.0
flaml,14,7.217987819053885,0.46010872366047323,6.93536853961713,7.748905973510399,52.41345371597064,67.14839483016428,-4.855533657101974,9.319550206871087,1409.0496916770935,3,3,3.0
flaml_quick,14,7.4129619645082725,0.19713504376066587,7.212913043406723,7.607047827095691,54.24159828645113,69.4496365404545,-6.05008810769768,9.471327335854195,395.15335909525555,3,3,4.0
lightgbm,14,7.532323770918796,0.10449778621395248,7.418790270088018,7.624479721176054,54.76694905491549,70.2275821178262,-4.823001500635463,9.761918653621214,12.282598813374838,3,3,5.0
xgboost,14,7.619629269604974,0.0583515841310563,7.555823922071227,7.6702820257763875,55.610930415330195,70.84207718953664,-6.256461872194408,9.917446077297395,53.37455177307129,3,3,6.0
pycaret_quick,14,7.8116457802091075,0.0010235074764776246,7.8104902878301505,7.812438457959867,56.81349232923295,71.82657260955342,-9.206383383657878,10.163142522612148,698.2835820515951,3,3,7.0
pycaret,14,7.86892794212373,0.10776537954247777,7.803003942696824,7.993289595844216,57.26506509331217,72.49710326646951,-9.939402998543136,10.146507956040649,786.7841891447703,3,3,8.0
last_value,14,8.719417019105702,0.0,8.719417019105702,8.719417019105702,63.849085343579475,81.7647520721302,-4.831558441558442,11.252256162191934,0.0,3,3,9.0
linear_regression,14,10.54431482977138,0.0,10.54431482977138,10.54431482977138,77.65641422108554,95.88020479399167,-6.949344382763999,15.005569287500757,2.6200385888417563,3,3,10.0
