model,h1_test_wape,h7_test_wape,h14_test_wape,mean_test_wape_1_7_14,rank_mean_test_wape_1_7_14
autogluon_quick,7.5636262765159215,6.73413458402974,7.16027716367254,7.152679341406067,1.0
lightgbm,7.364135974311978,7.007796977482978,7.532323770918796,7.301418907571251,2.0
autogluon,8.078330076247662,6.956833274089139,7.1398321366155715,7.391665162317458,3.0
pycaret_quick,6.893487747159541,7.643001298787021,7.8116457802091075,7.4493782753852225,4.0
xgboost,7.452268394667421,7.714350523118912,7.619629269604974,7.595416062463769,5.0
flaml,7.6986829590168595,8.11652889674375,7.217987819053885,7.677733224938165,6.0
flaml_quick,8.134112356523168,7.988766463275659,7.4129619645082725,7.8452802614357005,7.0
pycaret,8.429977883968697,7.7752483158884145,7.86892794212373,8.024718047326948,8.0
linear_regression,11.119586405437119,10.7715557281671,10.54431482977138,10.811818987791867,9.0
last_value,28.51640323159906,17.97279572651761,8.719417019105702,18.40287199240746,10.0
