model,horizon,split,fold,agg,MAE,RMSE,WAPE,Bias,N,training_time_seconds,stores,WAPE_p90
xgboost_log,1,test,,macro,54.66923251118142,71.5040515028782,7.559819331734629,2.7163209104331543,46200,35.24118232727051,1100.0,9.393128912082336
xgboost_log,1,test,,micro,54.80348557004435,80.70970585843988,7.411838968124719,2.7163209104331543,46200,35.24118232727051,,
xgboost_log,7,test,,macro,51.1132638342005,65.51532493354324,7.042172826978703,5.143853329084652,46200,22.887323141098022,1100.0,8.910022246558773
xgboost_log,7,test,,micro,51.25631841932299,75.70513153063311,6.955793086601894,5.143853329084652,46200,22.887323141098022,,
xgboost_log,14,test,,macro,57.119098095266565,72.7177114992818,7.812853492246139,3.571008853004092,46200,23.443904161453247,1100.0,9.972274874611788
xgboost_log,14,test,,micro,57.274599664386805,83.85269952813478,7.807654261956923,3.571008853004092,46200,23.443904161453247,,
xgboost_log,1,val,1,macro,55.02376878440659,75.6703724961876,7.31386399873885,23.469295185799208,46200,32.02084493637085,1100.0,9.034917261725548
xgboost_log,1,val,1,micro,55.09011895144818,84.89591869797647,7.21727635008409,23.469295185799208,46200,32.02084493637085,,
xgboost_log,7,val,1,macro,72.04210870235069,101.18476797822038,9.639339946893188,8.45265047610064,46200,22.507923364639282,1100.0,12.099331850801878
xgboost_log,7,val,1,micro,72.28524051128291,113.9523488599733,9.483642634961937,8.45265047610064,46200,22.507923364639282,,
xgboost_log,14,val,1,macro,74.16504257502726,102.11029150868468,10.009675328283235,1.7597283882702583,46200,20.66401433944702,1100.0,12.396080782041548
xgboost_log,14,val,1,micro,74.4978699718623,114.41003428541842,9.799460302375774,1.7597283882702583,46200,20.66401433944702,,
xgboost_log,1,val,2,macro,72.5613267353625,94.23195719538572,9.251708200538154,8.035010534839712,46200,32.64547944068909,1100.0,11.236001646961592
xgboost_log,1,val,2,micro,73.08555094512376,105.2737518778,9.160482098109288,8.035010534839712,46200,32.64547944068909,,
xgboost_log,7,val,2,macro,95.88090736900017,122.79991461003085,12.685951376401668,-11.470313449710995,46200,22.823023080825806,1100.0,16.085312716358253
xgboost_log,7,val,2,micro,96.58590701810641,137.6051764688384,12.414137782359173,-11.470313449710995,46200,22.823023080825806,,
xgboost_log,14,val,2,macro,74.81513996094242,94.29656771074424,9.837198376169042,-17.3657723442507,46200,21.902955770492554,1100.0,12.230246237051196
xgboost_log,14,val,2,micro,75.38167119338534,107.04048091217034,9.657097071825133,-17.3657723442507,46200,21.902955770492554,,
xgboost_log,1,val,3,macro,66.99763430772254,90.37863469827434,8.596885862148715,18.952152638786284,46200,33.6672158241272,1100.0,10.424677421950317
xgboost_log,1,val,3,micro,67.6299535904341,101.30605591480781,8.3920132382557,18.952152638786284,46200,33.6672158241272,,
xgboost_log,7,val,3,macro,70.5173514999393,92.8151126825984,9.273218229855425,18.605313204480456,46200,23.209702730178833,1100.0,11.313542535764686
xgboost_log,7,val,3,micro,71.13459995991609,104.87452419384026,9.12318276055688,18.605313204480456,46200,23.209702730178833,,
xgboost_log,14,val,3,macro,67.74264638085381,86.45081477064568,8.993326497604519,4.169362937629997,46200,22.656172275543213,1100.0,11.046079589084187
xgboost_log,14,val,3,micro,68.3880249909943,99.18846163675543,8.849537785126902,4.169362937629997,46200,22.656172275543213,,
